Word,Index
forward,503
rwanda,504
co-sponsored,505
country,506
debated,507
voted,508
session,509
23,510
defeat,511
remark,512
widen,513
rift,514
daniel,515
hagari,516
saying,517
identifying,518
impossible,519
task,520
defeating,521
goal,522
mean,523
throwing,524
sand,525
eye,526
reporting,527
outside,528
banned,529
murder,530
starvation,531
gender-based,532
violence,533
detailed,534
long,535
offence,536
use,537
extermination,538
indiscriminate,539
warfare,540
sexual,541
hit,542
yemen,543
houthi-run,544
tv,545
attacks,546
target,547
hodeidah,548
airport,549
region,550
north,551
sanaa,552
masirah,553
houthis,554
sea,555
carried,556
television,557
station,558
yemeni,559
shipping,560
lane,561
rescued,562
rubble,563
video,564
show,565
rescue,566
debris,567
seen,568
asking,569
mother,570
died,571
witness,572
photo,573
prepare,574
eid,575
amid,576
placed,577
pall,578
celebration,579
shadow,580
continued,581
loom,582
large,583
holiday,584
al-fitr,585
fasting,586
154,587
world,588
celebrates,589
women,590
health,591
ministry,592
provided,593
update,594
challenge,595
friday,596
march,597
8,598
',599
symbol,600
coexistence,601
ayman,602
shaer,603
lying,604
ancient,605
square,606
sebastia,607
bleeding,608
unbearable,609
pain,610
scuffle,611
ucla,612
full,613
using,614
chemical,615
irritant,616
tasers,617
disperse,618
join,619
movement,620
pro-israeli,621
rally,622
divestment,623
linked,624
spread,625
preparing,626
close,627
last,628
zone,629
brace,630
afraid,631
resort,632
food,633
11-year-old,634
husam,635
recount,636
daily,637
battle,638
basic,639
necessity,640
like,641
water,642
sanitation,643
israel-hamas,644
australia,645
warn,646
potentially,647
devastating,648
push,649
ahead,650
offensive,651
cessation,652
warning,653
planned,654
overwhelmingly,655
vote,656
favourably,657
reconsider,658
request,659
become,660
194th,661
member,662
live,663
page,664
closed,665
follow,666
coverage,667
reacts,668
unsc,669
demanding,670
many,671
around,672
welcomed,673
leader,674
demand,675
oxfam,676
deliberately,677
blocking,678
aid,679
famine-stalked,680
truck,681
waiting,682
average,683
20,684
access,685
enclave,686
ngo,687
impending,688
famine,689
rise,690
bureaucracy,691
hinder,692
headed,693
claimed,694
remembering,695
amna,696
homaid,697
channel,698
14,699
aired,700
claiming,701
terrorist,702
later,703
missile,704
son,705
24,706
torn,707
lay,708
house,709
shati,710
part,711
rescuer,712
tried,713
find,714
survivor,715
struck,716
eldest,717
mahdi,718
brother,719
five,720
injured,721
survived,722
anti-war,723
protester,724
texas,725
riot,726
filmed,727
arresting,728
person,729
appears,730
disabled,731
dozens,732
moved,733
clear,734
encampment,735
reportedly,736
pepper,737
spray,738
crowd,739
considers,740
$,741
18bn,742
transfer,743
f-15,744
jet,745
partner,746
fellow,747
democrats,748
congress,749
condition,750
joe,751
weighing,752
whether,753
package,754
include,755
dozen,756
aircraft,757
reuters,758
news,759
agency,760
launch,761
vessel,762
warship,763
defend,764
new,765
come,766
iran-aligned,767
targeted,768
houthi,769
coalition,770
defending,771
fallout,772
emergency,773
clinic,774
director,775
ambulance,776
department,777
hani,778
al-jaafrawi,779
500,780
staff,781
october,782
7,783
shielding,784
action,785
strap,786
man,787
jeep,788
tie,789
expert,790
amounted,791
shield,792
west,793
bank,794
tied,795
hood,796
vehicle,797
raid,798
jenin,799
appearing,800
francesca,801
albanese,802
indication,803
violated,804
act,805
listed,806
convention,807
reasonable,808
believe,809
committing,810
besieged,811
nations-appointed,812
destroy,813
reject,814
