Word,Index
die,871
kind,872
rubble,873
blasted,874
explosive,875
punctured,876
high,877
velocity,878
flying,879
shard,880
metal,881
enters,882
fifth,883
haunt,884
essential,885
although,886
precise,887
require,888
likely,889
condition,890
distract,891
risked,892
life,893
gather,894
pre-dawn,895
darkness,896
middle,897
zone,898
proportion,899
wanted,900
live,901
cruel,902
irony,903
eighty-five,904
per,905
cent,906
dismantled,907
normal,908
economic,909
activity,910
disrupted,911
struggle,912
medicine,913
power,914
concern,915
fundamental,916
bear,917
mind,918
understand,919
outset,920
expressed,921
public,922
regarded,923
primary,924
responsibility,925
ensuring,926
delivered,927
safely,928
sign,929
enabling,930
environment,931
volume,932
absence,933
mounting,934
witness,935
made,936
seeing,937
cascading,938
collapse,939
sewage,940
sanitation,941
service,942
telecom,943
shortage,944
healthcare,945
right,946
office,947
15,948
2,949
december,950
co-ordination,951
extremely,952
movement,953
access,954
entirely,955
twelve,956
adopted,957
resolution,958
2720,959
party,960
allow,961
enable,962
unhindered,963
scale,964
throughout,965
26,966
january,967
icj,968
required,969
effective,970
measure,971
provision,972
urgently,973
basic,974
9,975
february,976
relief,977
welfare,978
unrwa,979
phillipe,980
accusing,981
blocking,982
1.1,983
500,984
daily,985
average,986
90,987
falling,988
sky,989
welcomed,990
symbol,991
failure,992
leading,993
huge,994
travel,995
continuing,996
chaotic,997
spawned,998
mean,999
driver,1000
criminal,1001
gang,1002
stealing,1003
sell,1004
termed,1005
mogadishu-like,1006
may,1007
developing,1008
reference,1009
chaos,1010
enveloped,1011
somali,1012
capital,1013
civil,1014
1990s,1015
police,1016
unwilling,1017
escort,1018
provoked,1019
vanished,1020
survive,1021
tunnel,1022
facilitating,1023
example,1024
escorted,1025
night,1026
prior,1027
stacked,1028
n't,1029
turned,1030
distribute,1031
mistrustful,1032
infiltrated,1033
wake,1034
allegation,1035
sacked,1036
12,1037
employee,1038
either,1039
helping,1040
detention,1041
defence,1042
yoav,1043
gallant,1044
longer,1045
lost,1046
legitimacy,1047
function,1048
beginning,1049
kidnapped,1050
250,1051
ordered,1052
complete,1053
blockade,1054
everything,1055
closed,1056
…,1057
acting,1058
accordingly,1059
position,1060
changed,1061
announcing,1062
19,1063
allowed,1064
entreaty,1065
western,1066
politician,1067
worried,1068
breach,1069
law,1070
restore,1071
make,1072
sure,1073
shelter,1074
available,1075
constant,1076
violent,1077
starvation,1078
ask,1079
comprising,1080
powerful,1081
nation,1082
earth,1083
ensure,1084
nearly,1085
eight,1086
decade,1087
experience,1088
resource,1089
addressing,1090
medecins,1091
frontieres,1092
christopher,1093
lockyear,1094
principle,1095
collectively,1096
depend,1097
eroded,1098
becoming,1099
meaningless,1100
illusion,1101
speak,1102
29,1103
turning,1104
circumstance,1105
reach,1106
hungry,1107
tell,1108
realised,1109
destruction,1110
generation,1111
marched,1112
venue,1113
athletics,1114
indoor,1115
championship,1116
glasgow,1117
protest,1118
demonstrator,1119
gathered,1120
east,1121
barrowland,1122
park,1123
finished,1124
arena,1125
weekend,1126
scottish,1127
athlete,1128
laura,1129
muir,1130
josh,1131
kerr,1132
competing,1133
final,1134
middle-distance,1135
runner,1136
jemma,1137
reekie,1138
qualified,1139
fastest,1140
800m,1141
activist,1142
demonstration,1143
town,1144
across,1145
scotland,1146
regularly,1147
hostility,1148
organised,1149
coalition,1150
genocide,1151
committee,1152
wael,1153
shawish,1154
society,1155
affiliate,1156
boycott,1157
global,1158
athletic,1159
message,1160
