sub_title,date,Newspaper,Body Text,title
"Biden faces pressure from foreign partners , rights groups and some fellow Democrats in Congress to impose conditions on arms transfers to Israel .",2 Apr 2024,al-j,"us president joe biden’s administration is weighing whether to go ahead with an $ 18bn arms transfer package to israel that would include dozens of f-15 aircraft , according to the reuters news agency .","biden considers $ 18bn arms transfer to israel , including f-15 jets : report"
New attack comes two weeks after Iran-aligned group said it targeted three vessels and a US warship .,25 Apr 2024,al-j,"yemen’s iran-aligned houthi armed group says it attacked us and israeli vessels , with a western coalition of warships defending amid the continuing fallout from the war on gaza .","yemen’s houthis launch attacks on us , israeli vessels as warships defend"
"An Israeli air attack on a Gaza City clinic killed two people including the director of Gaza’s ambulance and emergency department Hani al-Jaafrawi , the enclave’s Health Ministry said . At least 500 medical staff have been killed in Gaza since October 7 .",24 Jun 2024,al-j,,gaza emergency health chief killed in israeli air attack
Israeli forces tie wounded Palestinian man to a military jeep in an incident a UN expert said amounted to using him as a human shield .,23 Jun 2024,al-j,"israeli forces in the occupied west bank have tied a wounded palestinian man to the hood of a military vehicle during a raid on the city of jenin , appearing to use him as a human shield .",‘ human shielding in action ’ : israeli forces strap palestinian man to jeep
Francesca Albanese says there are clear indications that Israel has violated three of five acts listed under UN Genocide Convention .,26 Mar 2024,al-j,"there are “ reasonable grounds ” to believe israel is committing genocide in the besieged palestinian enclave of the gaza strip , according to a report issued by a united nations-appointed expert .",un expert accuses israel of ‘ genocide ’ in gaza
"Israel has rejected a ceasefire and launched an operation in Rafah , raising fears that the war in Gaza could drag on .",7 May 2024,al-j,"israel appears to have been blindsided by hamas’s announcement on monday that it had agreed to an egyptian-qatari ceasefire proposal . but the israeli government quickly made its position clear – the proposal wasn’t something it would agree to , and , to make matters more explicit , its military forces took control of the palestinian side of egypt’s border with gaza in rafah .",‘ the goal is to destroy gaza ’ : why israel rejects a ceasefire with hamas
"Heavy Israeli air raids kill dozens in central Gaza as US , Qatari and Egyptian mediators plan to resume talks .",5 Jun 2024,al-j,"dozens of palestinians have been killed in heavy israeli bombardment of the central gaza strip , as us , qatari , and egyptian mediators plan to resume talks on a proposed ceasefire and captive release deal .",israel expands gaza offensive as mediators ’ ceasefire bid continues
"Resolution does not give Palestine full UN membership , but recognises it as qualified to join and extends new rights and privileges .",10 May 2024,al-j,the united nations general assembly ( unga ) has backed a palestinian bid to become a full un member by recognising it as qualified to join and recommending the un security council “ reconsider the matter favourably ” .,united nations general assembly backs palestinian bid for membership
No immediate confirmation from Hamas after Israeli military spokesman says Issa was killed in a strike ‘ two weeks ago ’ .,26 Mar 2024,al-j,israel’s military spokesman says hamas deputy military commander marwan issa was killed earlier this month in an israeli attack on the gaza strip .,israel claims senior hamas commander marwan issa killed in gaza strike
“ They were laughing and playing ” . The Palestinian man who was shot then tied to the front of an Israeli army vehicle and driven around has been describing his treatment by soldiers in the occupied West Bank .,24 Jun 2024,al-j,,palestinian who was shot and tied to israeli army vehicle describes ordeal
Hamas says a delegation is set to visit Egypt soon for further ceasefire talks .,2 May 2024,al-j,this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates : hamas studies proposal in ‘ positive spirit ’
